Dungog Station,242010,151.7595395,-32.4022901,10101186,02 4992 3178,"Brown St, Dungog",2003|2004|2005|2006|2007|2008,3001|3004|3006|3008|3011,1001|1002
East Hills Station,221320,150.9848973,-33.96160677,10101419,02 9563 7774,"Park Rd, East Hills",2001|2002|2003|2004|2005|2006|2015|2007|2008|2009,3003|3006|3008|3009|3010|3011,1001|1002
East Maitland Station,232330,151.5874213,-32.74487523,10101176,02 4933 7256,"Melbourne St, East Maitland",2003|2004|2007|2008,3008|3010|3011,1001
East Richmond Station,275310,150.759234,-33.60179614,10101244,02 9851 7248,"Bourke St, East Richmond",2002|2004|2005|2007|2008|2011|2013,3001|3003|3004|3006|3009|3011,1001|1002
Eastwood Station,212210,151.0822335,-33.7900214,10101199,02 9752 8493,"West Pde, Eastwood",2002|2003|2004|2005|2006|2015|2007|2008|2009|2010|2011|2013,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Edgecliff Station,202710,151.2361614,-33.87925148,10101108,02 9379 4652,"New South Head Rd, Edgecliff",2004|2005|2006|2015|2007|2008|2012|2013,3002|3003|3006|3008|3010|3011,1001|1002|1005
Edmondson Park Station,217426,150.8587,-33.9693,10101447,02 9765 1451 ,"Soldiers Pde, Edmondson Park",2002|2003|2004|2005|2006|2015|2007|2008|2009|2011|2013,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Emu Plains Station,275020,150.6722867,-33.74556778,10101253,02 4735 2506,"Station St, Emu Plains",2001|2002|2003|2004|2005|2006|2015|2007|2008|2009|2011|2013,3001|3003|3005|3006|3008|3009|3011|3017,1001|1002
Engadine Station,223310,151.0146529,-34.06789901,10101353,02 9522 1224,"Princes Hwy, Engadine",2001|2002|2003|2004|2005|2006|2015|2007|2008|2009|2010|2011,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Epping Station,212110,151.0821766,-33.77284145,10101429,02 8878 4100,"Beecroft Rd, Epping",2001|2002|2003|2004|2005|2006|2015|2008|2009|2010|2012|2013,3001|3002|3003|3005|3006|3008|3009|3011,1001|1002|1005
Erskineville Station,204310,151.1853076,-33.9008581,10101324,02 9563 7579,"Swanson St, Erskineville",2004|2005|2006|2015|2007|2008|2011|2013,3003|3008|3010|3011,1001|1002
Exeter Station,257930,150.3173447,-34.61377487,10101309,02 4868 1115,"Middle Rd, Exeter",2004|2008|2009,3004|3010|3011|3015,1001|1002
Fairfield Station,216510,150.9570711,-33.87233065,10101285,02 9765 1641,"The Crescent, Fairfield",2002|2003|2004|2005|2006|2015|2007|2008|2011,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Fairy Meadow Station,251910,150.8961702,-34.39583411,10101370,02 4223 5852,"Elliots Rd, Fairy Meadow",2001|2002|2003|2004|2005|2006|2007|2008|2009,3004|3008|3009|3010|3011,1001|1005
Fassifern Station,228330,151.5812509,-32.9857882,10101151,02 4985 7209,"Tucker Close, Fassifern",2002|2003|2004|2005|2006|2015|2007|2008|2009|2010,3001|3003|3005|3008|3009|3011,1001|1002
Faulconbridge Station,277610,150.5350339,-33.69648835,10101260,02 4780 3906,"Great Western Hwy, Faulconbridge",2003|2004|2005|2007|2008|2009,3003|3008|3010|3011|3017,1001|1002
Flemington Station,214020,151.0697665,-33.86482229,10101217,02 9752 8477,"The Crescent, Flemington",2004|2005|2006|2008,3003|3008|3010|3011,1001|1002|1005
Gerringong Station,253420,150.8175078,-34.74488594,10101387,02 4234 1422,"Grey St, Gerringong",2002|2003|2004|2006|2007|2008|2009|2010,3001|3009|3011,1001|1005
Glenbrook Station,277310,150.6208342,-33.76900437,10101255,02 4739 1753,"Burfitt Pde, Glenbrook",2001|2002|2003|2004|2005|2006|2015|2007|2008,3003|3008|3010|3011|3017,1001|1002
Glenfield Station,216710,150.8928072,-33.97236827,10101291,02 9765 1162,"Railway Pde, Glenfield",2001|2002|2003|2004|2005|2006|2015|2007|2008|2009|2010|2011|2013,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
